Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Solidity,Roundness
56276.0,888.242,326.1485,220.2388,0.5344733308825192,0.8963
76631.0,1068.146,417.1932,234.2289,0.5431215742579011,0.844
71623.0,1082.987,435.8328,211.0457,0.17179188101555828,0.7674
66458.0,992.051,381.5638,222.5322,0.8865557116022069,0.8486
66107.0,998.146,383.8883,220.4545,0.5283690203981821,0.8338
73191.0,1041.46,405.8132,231.4261,0.8062014847157197,0.848
73338.0,1020.055,392.2516,238.5494,0.27345831281487054,0.8857
69692.0,1049.108,421.4875,211.7707,1.0,0.7957
95727.0,1231.609,488.1199,251.3086,0.8073009211999903,0.793
73465.0,1047.767,413.6504,227.2644,0.9010119512783016,0.8409
83429.0,1114.561,438.5827,242.8826,0.33378939294622584,0.844
85461.0,1136.125,446.2935,245.1551,0.22476814305423193,0.832
71393.0,1096.533,459.2091,199.1305,0.49809908775186074,0.7461
80151.0,1088.349,420.8842,244.2649,0.5951657319974225,0.8503
68078.0,1016.821,403.0626,215.6027,0.4712899656572869,0.8274
57934.0,933.357,368.7807,201.2084,0.24737848948037847,0.8357
61138.0,953.256,371.2713,211.3706,0.19046733174894537,0.8455
61519.0,964.694,382.1808,205.6436,0.8740077378695531,0.8307
76073.0,1064.233,430.7576,225.3286,0.1298239255093609,0.844
56882.0,926.303,368.015,197.4554,0.5918219914564526,0.8331
69350.0,1037.403,418.2706,211.9446,0.3940153176647353,0.8098
82196.0,1141.067,466.2324,225.8543,0.580854788677223,0.7933
62165.0,936.716,356.8281,222.3935,0.24101447072483612,0.8903
85913.0,1120.778,435.7355,251.4643,0.16095938012408706,0.8595
68683.0,1021.57,409.83,214.3968,0.15732522791761705,0.827
61215.0,951.511,369.4055,212.7202,0.35585251119951605,0.8497
72713.0,1039.375,401.8137,231.1989,0.29110463466834885,0.8458
58684.0,917.482,355.8436,210.4503,0.12161838894818573,0.8761
59652.0,932.197,359.1674,213.7165,0.35152377110495037,0.8626
89091.0,1138.972,443.718,256.1033,0.7853138323137658,0.863
