Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Compactness
 110058.0000,   1406.4210,    606.7535,    231.9520, 111273.0000,    374.3397,      0.9240,      0.9891,      0.6465,      0.6992,      0.6170
  86142.0000,   1174.4130,    482.8489,    228.3861,  87136.0000,    331.1788,      0.8811,      0.9886,      0.7560,      0.7848,      0.6859
  90412.0000,   1239.6730,    523.8273,    221.1662,  91379.0000,    339.2877,      0.9065,      0.9894,      0.7403,      0.7393,      0.6477
  89466.0000,   1203.8200,    468.1915,    244.8638,  90793.0000,    337.5080,      0.8523,      0.9854,      0.7427,      0.7758,      0.7209
  97267.0000,   1259.3240,    519.9828,    239.0269,  98109.0000,    351.9150,      0.8881,      0.9914,      0.7450,      0.7707,      0.6768
  83832.0000,   1135.2300,    448.0772,    239.1491,  84719.0000,    326.7082,      0.8457,      0.9895,      0.7613,      0.8174,      0.7291
  75034.0000,   1161.2040,    502.0237,    191.9763,  75714.0000,    309.0894,      0.9240,      0.9910,      0.6027,      0.6993,      0.6157
  84979.0000,   1150.6370,    449.3851,    241.8617,  85987.0000,    328.9356,      0.8428,      0.9883,      0.7041,      0.8066,      0.7320
  70804.0000,   1077.8340,    425.0707,    212.9119,  71696.0000,    300.2506,      0.8655,      0.9876,      0.7286,      0.7659,      0.7064
  55552.0000,    962.9900,    402.1519,    176.3931,  56167.0000,    265.9530,      0.8987,      0.9891,      0.6813,      0.7528,      0.6613
  62931.0000,   1012.7460,    422.1954,    190.1828,  63481.0000,    283.0658,      0.8928,      0.9913,      0.7552,      0.7710,      0.6705
  84329.0000,   1139.8910,    461.9137,    233.7635,  84990.0000,    327.6752,      0.8625,      0.9922,      0.6790,      0.8156,      0.7094
  72291.0000,   1069.2580,    430.8520,    215.6334,  73441.0000,    303.3871,      0.8657,      0.9843,      0.6630,      0.7946,      0.7042
  72612.0000,   1058.4180,    423.3450,    219.3246,  73540.0000,    304.0600,      0.8553,      0.9874,      0.6140,      0.8145,      0.7182
  92432.0000,   1124.0350,    402.6564,    292.9598,  93267.0000,    343.0570,      0.6860,      0.9910,      0.7606,      0.9193,      0.8520
  94199.0000,   1175.3120,    455.8739,    263.7459,  94930.0000,    346.3205,      0.8156,      0.9923,      0.7448,      0.8569,      0.7597
 112500.0000,   1405.4460,    596.6997,    240.6243, 113585.0000,    378.4699,      0.9151,      0.9904,      0.5495,      0.7157,      0.6343
  68265.0000,   1034.9690,    401.9448,    217.6478,  69242.0000,    294.8181,      0.8407,      0.9859,      0.7319,      0.8009,      0.7335
  71792.0000,   1028.7710,    402.3638,    228.4777,  72478.0000,    302.3382,      0.8231,      0.9905,      0.7488,      0.8524,      0.7514
  73040.0000,   1027.6410,    391.2823,    239.0666,  73870.0000,    304.9548,      0.7916,      0.9888,      0.7315,      0.8691,      0.7794
  75574.0000,   1066.1160,    411.8512,    236.1875,  76639.0000,    310.1996,      0.8192,      0.9861,      0.7502,      0.8356,      0.7532
  71719.0000,   1037.9910,    407.5559,    226.0236,  72393.0000,    302.1845,      0.8321,      0.9907,      0.7385,      0.8365,      0.7415
 110389.0000,   1319.7160,    540.7389,    261.4284, 111252.0000,    374.9022,      0.8754,      0.9922,      0.7087,      0.7965,      0.6933
  62878.0000,    963.4790,    374.3887,    214.6843,  63487.0000,    282.9466,      0.8193,      0.9904,      0.6775,      0.8512,      0.7558
  85084.0000,   1203.2950,    506.6272,    214.7488,  85843.0000,    329.1387,      0.9057,      0.9912,      0.5776,      0.7384,      0.6497
  87110.0000,   1204.3940,    503.0661,    221.0046,  88000.0000,    333.0344,      0.8983,      0.9899,      0.6983,      0.7546,      0.6620
  70981.0000,   1023.7460,    406.6575,    222.6853,  71484.0000,    300.6257,      0.8367,      0.9930,      0.6687,      0.8511,      0.7393
  71697.0000,   1112.8690,    471.3406,    194.7720,  72321.0000,    302.1381,      0.9106,      0.9914,      0.6013,      0.7275,      0.6410
  80082.0000,   1091.5250,    416.7697,    245.9021,  80992.0000,    319.3173,      0.8074,      0.9888,      0.7138,      0.8447,      0.7662
  79175.0000,   1134.7290,    465.2679,    218.1698,  80151.0000,    317.5039,      0.8832,      0.9878,      0.6828,      0.7727,      0.6824
  83831.0000,   1129.0980,    440.2412,    243.5967,  84587.0000,    326.7062,      0.8330,      0.9911,      0.6637,      0.8263,      0.7421
  73692.0000,   1047.3790,    411.4860,    229.0894,  74317.0000,    306.3129,      0.8307,      0.9916,      0.7208,      0.8442,      0.7444
  76702.0000,   1060.6390,    407.7100,    240.4951,  77425.0000,    312.5060,      0.8075,      0.9907,      0.6606,      0.8568,      0.7665
  96587.0000,   1202.1760,    477.3562,    258.3293,  97232.0000,    350.6827,      0.8409,      0.9934,      0.6530,      0.8398,      0.7346
  64602.0000,   1006.0900,    409.7334,    201.4131,  65133.0000,    286.7993,      0.8708,      0.9918,      0.7466,      0.8020,      0.7000
  88884.0000,   1139.6070,    433.4547,    262.6681,  90035.0000,    336.4084,      0.7955,      0.9872,      0.7135,      0.8600,      0.7761
 101629.0000,   1271.3630,    525.8595,    246.5552, 102350.0000,    359.7194,      0.8833,      0.9930,      0.6435,      0.7901,      0.6841
