Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
1429.4132588265177,22.561391922783844,8.284188468376938,5.594076708153416,56831,267.6805,0.7376,0.9902,0.7453,0.8963,1.4809,0.8207,Çerçevelik
1946.431292862586,27.130962661925324,10.596728473456947,5.9494259588519185,77280,312.3614,0.8275,0.9916,0.7151,0.844,1.7811,0.7487,Çerçevelik
1819.227838455677,27.507924815849634,11.070175260350522,5.360571501143003,72663,301.9822,0.8749,0.9857,0.74,0.7674,2.0651,0.6929,Çerçevelik
1688.0365760731522,25.198145796291595,9.691739903479808,5.652329184658369,67118,290.8899,0.8123,0.9902,0.7396,0.8486,1.7146,0.7624,Çerçevelik
1679.1211582423166,25.352959105918213,9.750782321564644,5.599555499110998,67117,290.1207,0.8187,0.985,0.6752,0.8338,1.7413,0.7557,Çerçevelik
1859.0551181102364,26.453136906273816,10.30767589535179,5.878234696469393,73969,305.2698,0.8215,0.9895,0.7165,0.848,1.7535,0.7522,Çerçevelik
1862.7889255778514,25.909448818897637,9.963210566421134,6.059166878333757,73859,305.5762,0.7938,0.9929,0.7187,0.8857,1.6443,0.779,Çerçevelik
1770.180340360681,26.64739649479299,10.705803911607823,5.378986537973076,70442,297.8836,0.8646,0.9894,0.6736,0.7957,1.9903,0.7067,Çerçevelik
2431.470662941326,31.282931165862333,12.398270256540513,6.383251206502414,96831,349.118,0.8573,0.9886,0.6188,0.793,1.9423,0.7152,Çerçevelik
1866.014732029464,26.613335026670057,10.506741173482347,5.77252730505461,74089,305.8407,0.8356,0.9916,0.7443,0.8409,1.8201,0.7394,Çerçevelik
2119.1008382016767,28.30990601981204,11.14002286004572,6.169230378460758,84126,325.9219,0.8327,0.9917,0.7019,0.844,1.8057,0.7431,Çerçevelik
2170.713741427483,28.85763271526543,11.335877571755145,6.226951993903988,86344,329.8671,0.8356,0.9898,0.7457,0.832,1.8205,0.7391,Çerçevelik
1813.3858267716537,27.851993903987807,11.663934467868936,5.057924815849632,72203,301.4969,0.9011,0.9888,0.6,0.7461,2.3061,0.6566,Çerçevelik
2035.8394716789435,27.644119888239775,10.690480060960123,6.204340868681738,80854,319.4549,0.8144,0.9913,0.7285,0.8503,1.7231,0.759,Çerçevelik
1729.1846583693168,25.82730505461011,10.237810515621032,5.4763195326390655,68709,294.414,0.8449,0.9908,0.7377,0.8274,1.8695,0.7304,Çerçevelik
1471.5265430530862,23.70731521463043,9.367048514097029,5.110703581407163,58651,271.595,0.838,0.9878,0.7124,0.8357,1.8328,0.7365,Çerçevelik
1552.9083058166118,24.21275082550165,9.430309880619761,5.368823977647955,61753,279.0042,0.8221,0.99,0.7391,0.8455,1.7565,0.7515,Çerçevelik
1562.5857251714503,24.503276606553214,9.70741173482347,5.223357886715774,62227,279.8722,0.8429,0.9886,0.6728,0.8307,1.8585,0.7323,Çerçevelik
1932.2580645161293,27.031572263144525,10.941264922529847,5.723357886715774,76576,311.222,0.8523,0.9934,0.7692,0.844,1.9117,0.7225,Çerçevelik
1444.8056896113794,23.528143256286516,9.34759969519939,5.015377190754382,57544,269.1178,0.8439,0.9885,0.7403,0.8331,1.8638,0.7313,Çerçevelik
1761.4935229870462,26.350088900177802,10.624094488188977,5.383403606807214,70249,297.1517,0.8621,0.9872,0.7469,0.8098,1.9735,0.7104,Çerçevelik
2087.782575565151,28.983159766319535,11.842326644653289,5.736710693421387,82991,323.5046,0.8748,0.9904,0.6702,0.7933,2.0643,0.6939,Çerçevelik
1578.9941579883161,23.792633985267972,9.063451866903735,5.648806197612395,62647,281.3378,0.782,0.9923,0.7237,0.8903,1.6045,0.7884,Çerçevelik
2182.194564389129,28.467818135636275,11.067703835407672,6.38720599441199,86577,330.7383,0.8167,0.9923,0.7386,0.8595,1.7328,0.759,Çerçevelik
1744.5516891033783,25.947929895859794,10.40970281940564,5.4456896113792235,69337,295.7193,0.8522,0.9906,0.6526,0.827,1.9115,0.7216,Çerçevelik
1554.8641097282195,24.168427736855474,9.382918465836934,5.403103886207773,61936,279.1798,0.8176,0.9884,0.6779,0.8497,1.7366,0.7558,Çerçevelik
1846.913893827788,26.400177800355603,10.206088392176785,5.8724638049276106,73336,304.2714,0.8179,0.9915,0.6861,0.8458,1.738,0.7572,Çerçevelik
1490.5765811531624,23.304089408178818,9.038445516891034,5.345448310896622,59202,273.3474,0.8064,0.9913,0.7156,0.8761,1.6909,0.7682,Çerçevelik
1515.1638303276607,23.677851155702314,9.122870205740412,5.428409956819914,60204,275.5926,0.8037,0.9908,0.675,0.8626,1.6806,0.7673,Çerçevelik
2262.915925831852,28.92994665989332,11.270459740919483,6.50503683007366,89964,336.7999,0.8166,0.9903,0.7407,0.863,1.7326,0.759,Çerçevelik
1491.008382016764,23.475488950977905,9.176431292862587,5.2669748539497085,59204,273.387,0.8189,0.9915,0.6746,0.8636,1.7423,0.7567,Çerçevelik
1719.5580391160784,26.002514605029212,10.304064008128016,5.421582423164846,68507,293.5933,0.8504,0.9882,0.6923,0.8118,1.9006,0.7237,Çerçevelik
2046.1010922021846,27.660731521463042,10.62735839471679,6.251889763779528,81584,320.259,0.8087,0.9874,0.7381,0.8536,1.6999,0.7654,Çerçevelik
1747.929895859792,25.300508001016006,9.845295910591823,5.780459740919482,69403,296.0055,0.8095,0.9915,0.7542,0.8716,1.7032,0.7637,Çerçevelik
2050.5207010414024,27.815494030988063,10.945684531369064,6.072796545593092,81407,320.6047,0.832,0.9917,0.7537,0.8459,1.8024,0.744,Çerçevelik
1722.0218440436881,25.518796037592075,9.756766573533147,5.742153924307849,68610,293.8036,0.8085,0.9881,0.696,0.844,1.6991,0.7649,Çerçevelik
1821.945643891288,26.289484378968762,10.213253746507494,5.789204978409957,72668,302.2077,0.8238,0.9871,0.6765,0.8414,1.7642,0.7516,Çerçevelik
1797.5869951739905,25.81696723393447,9.83474218948438,5.944084328168657,71451,300.1807,0.7967,0.9905,0.7201,0.8608,1.6545,0.7753,Çerçevelik
1869.723139446279,25.90421640843282,9.754203708407418,6.212557785115571,74230,306.1445,0.7709,0.9917,0.7169,0.8894,1.5701,0.7972,Çerçevelik
2027.990855981712,28.788519177038356,11.634175768351538,5.659832359664719,80792,318.8385,0.8737,0.9882,0.7354,0.781,2.0556,0.6961,Çerçevelik
1748.0822961645924,26.33159766319533,10.726062992125986,5.284531369062738,69467,296.0184,0.8702,0.9907,0.7514,0.8047,2.0297,0.701,Çerçevelik
1950.0889001778005,27.692405384810773,11.197706375412752,5.669324358648717,77569,312.6547,0.8624,0.9898,0.7419,0.8117,1.9751,0.7092,Çerçevelik
1577.47015494031,25.05384810769622,9.916959613919229,5.160231140462281,62792,281.202,0.854,0.9891,0.6624,0.8022,1.9218,0.7202,Çerçevelik
1417.6022352044704,23.802743205486415,9.158430276860555,5.058039116078232,56778,266.5723,0.8337,0.983,0.6303,0.7986,1.8107,0.7393,Çerçevelik
2465.379730759462,30.000609601219207,11.203307086614174,7.147437134874271,97926,351.544,0.7701,0.9912,0.7266,0.8743,1.5675,0.797,Çerçevelik
1787.172974345949,26.939878079756163,10.9548666497333,5.298897637795276,71075,299.3099,0.8752,0.99,0.6644,0.786,2.0674,0.694,Çerçevelik
1917.246634493269,26.691109982219967,9.870962661925324,6.295044450088901,76417,310.0108,0.7703,0.9878,0.7015,0.859,1.5681,0.7977,Çerçevelik
1722.9362458724918,25.511557023114047,9.668890017780036,5.797866395732792,68816,293.8816,0.8003,0.9857,0.7191,0.845,1.6677,0.772,Çerçevelik
1705.232410464821,26.20830581661163,9.349773939547878,6.065072390144781,68784,292.3678,0.7611,0.976,0.6867,0.7924,1.5416,0.7943,Çerçevelik
2008.483616967234,27.06184912369825,10.125882651765304,6.448333756667514,79681,317.3013,0.771,0.9924,0.7359,0.8754,1.5703,0.7959,Çerçevelik
2188.5699771399545,28.4999237998476,10.878112776225553,6.5271424942849885,86938,331.2211,0.8,0.9911,0.694,0.86,1.6666,0.7734,Çerçevelik
1715.748031496063,25.510109220218443,9.969753619507241,5.579786639573279,68147,293.2679,0.8287,0.9912,0.7106,0.8415,1.7868,0.7472,Çerçevelik
2222.250444500889,28.900635001270004,10.916639573279147,6.624340868681737,88474,333.76,0.7948,0.9889,0.7558,0.8492,1.648,0.7766,Çerçevelik
2094.691389382779,28.82895605791212,11.48756413512827,5.907907035814072,83212,324.0394,0.8576,0.9911,0.6277,0.8045,1.9444,0.7165,Çerçevelik
2294.7929895859793,29.813589027178054,11.740406400812804,6.350922021844044,91444,339.1638,0.8411,0.988,0.7412,0.8241,1.8486,0.7338,Çerçevelik
1866.497332994666,27.338633477266953,10.757960375920753,5.669458978917959,74411,305.8803,0.8499,0.9875,0.7426,0.7971,1.8975,0.7222,Çerçevelik
2232.8168656337316,29.36408432816866,11.341823723647448,6.393276606553214,88905,334.5525,0.826,0.9888,0.7095,0.8265,1.774,0.7492,Çerçevelik
2120.0660401320806,28.631572263144527,11.484284988569978,5.97990601981204,84142,325.9961,0.8537,0.992,0.7602,0.8255,1.9205,0.721,Çerçevelik
2091.033782067564,28.156464312928627,11.194406908813818,6.066019812039625,82952,323.7563,0.8405,0.9924,0.7467,0.8419,1.8454,0.7346,Çerçevelik
2241.910083820168,29.372491744983492,11.709542799085598,6.212065024130048,89044,335.2331,0.8477,0.9912,0.7685,0.8294,1.885,0.7272,Çerçevelik
2714.3002286004576,31.83865887731776,12.509377698755397,7.047929895859792,107521,368.8644,0.8262,0.9939,0.7391,0.8547,1.7749,0.749,Çerçevelik
1759.5885191770385,25.59227838455677,9.80493268986538,5.83230886461773,70121,296.991,0.8038,0.9879,0.7314,0.8575,1.6811,0.7694,Çerçevelik
